kind	symbolId	diagnosticCode	documentUri	jsonPointer	reason	reasonSha256	category	waiverId	rationale	owner	disposition
operation	operation:PostBillingPortalConfigurations	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1billing_portal~1configurations/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/business_profile	Operation 'PostBillingPortalConfigurations' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	569076ed960ad3fcc68a9b2ca73825f7e91251d2234f0423f17467df804418a1	dynamic-object-keys	stripe-paths-1v1-1billing-portal-1configurations-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-business-profile-569076ed960a	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBillingPortalConfigurations' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostBillingPortalConfigurationsConfiguration	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1billing_portal~1configurations~1{configuration}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/business_profile	Operation 'PostBillingPortalConfigurationsConfiguration' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	ebadbd15156a57a94b01ed3993eb39aceca79e689251918c752100d41fc42cef	dynamic-object-keys	stripe-paths-1v1-1billing-portal-1configurations-1-configuration-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-business-profile-ebadbd15156a	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBillingPortalConfigurationsConfiguration' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostBillingPortalSessions	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1billing_portal~1sessions/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/flow_data	Operation 'PostBillingPortalSessions' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	879cfe2ddd3e4994c3a5d3b28978a28ffebbbb45e676b56f096748b095b4b518	dynamic-object-keys	stripe-paths-1v1-1billing-portal-1sessions-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-flow-data-879cfe2ddd3e	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBillingPortalSessions' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostCharges	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1charges/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/card/anyOf/0	Operation 'PostCharges' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	62ced05bf6c98bd3d409b4dd5d17351e39f9055eb7ade5e2a5eb1fc240175794	dynamic-object-keys	stripe-paths-1v1-1charges-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-card-anyof-0-62ced05bf6c9	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostCharges' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostChargesCharge	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1charges~1{charge}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/fraud_details	Operation 'PostChargesCharge' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	4b779986762f6ecfeb4469af4e07ae18fa9086291ef947b4862a286fbcdd9a63	dynamic-object-keys	stripe-paths-1v1-1charges-1-charge-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-fraud-details-4b779986762f	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostChargesCharge' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostChargesChargeCapture	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1charges~1{charge}~1capture/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/transfer_data	Operation 'PostChargesChargeCapture' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	33c623f11cfdfe204f27118481d3d9fad241b14990b959fca7b6eecca68c86b6	dynamic-object-keys	stripe-paths-1v1-1charges-1-charge-1capture-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-transfer-data-33c623f11cfd	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostChargesChargeCapture' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostChargesChargeDispute	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1charges~1{charge}~1dispute/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/evidence	Operation 'PostChargesChargeDispute' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	c8521333437a96e8f90c4e5c94e79e6ccdf73250f9314bf7cee6084f73ea881c	dynamic-object-keys	stripe-paths-1v1-1charges-1-charge-1dispute-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-evidence-c8521333437a	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostChargesChargeDispute' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostCheckoutSessions	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1checkout~1sessions/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/adaptive_pricing	Operation 'PostCheckoutSessions' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	7d5c6e8fe77e2a9f853c9ca141b6951311047f6dbb562763b40fb351d01df241	dynamic-object-keys	stripe-paths-1v1-1checkout-1sessions-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-adaptive-pricing-7d5c6e8fe77e	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostCheckoutSessions' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostCheckoutSessionsSession	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1checkout~1sessions~1{session}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/collected_information	Operation 'PostCheckoutSessionsSession' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	5544787c2c0b41a2d6a0847b73cffc6145bc016140e9a79198f33e5f9a92b9ba	dynamic-object-keys	stripe-paths-1v1-1checkout-1sessions-1-session-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-collected-information-5544787c2c0b	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostCheckoutSessionsSession' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostClimateOrders	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1climate~1orders/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/beneficiary	Operation 'PostClimateOrders' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	38115655c954a060ece0b0919d57a66dafdbf363a9570194a523cd2fc0cb395e	dynamic-object-keys	stripe-paths-1v1-1climate-1orders-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-beneficiary-38115655c954	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostClimateOrders' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
