schemaId	legacyCandidate	newName	legacyLength	newLength	committedLegacyFilePresent
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCodeExecutionResult/properties/type	InlineComponentsSchemasAnthropicCodeExecutionResultPropertiesType	InlineAnthropicCodeExecutionResultTypeXe96d87da	65	47	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCodeExecutionToolResult/properties/type	InlineComponentsSchemasAnthropicCodeExecutionToolResultPropertiesType	InlineAnthropicCodeExecutionToolResultTypeXa2888711	69	51	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCodeExecutionToolResultError/properties/type	InlineComponentsSchemasAnthropicCodeExecutionToolResultErrorPropertiesType	InlineAnthropicCodeExecutionToolResultErrorTypeXc24d8d55	74	56	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCompactionBlock/properties/type	InlineComponentsSchemasAnthropicCompactionBlockPropertiesType	InlineAnthropicCompactionBlockTypeX84665b30	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCompactionUsageIteration/allOf/1	InlineComponentsSchemasAnthropicCompactionUsageIterationAllOf1	InlineAnthropicCompactionUsageIterationAllOf2X0c20b020	62	54	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCompactionUsageIteration/allOf/1/properties/type	InlineComponentsSchemasAnthropicCompactionUsageIterationAllOf1PropertiesType	InlineAnthropicCompactionUsageIterationAllOf2TypeX1871f76a	76	58	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicContainerUpload/properties/type	InlineComponentsSchemasAnthropicContainerUploadPropertiesType	InlineAnthropicContainerUploadTypeXb985c53e	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDirectCaller/properties/type	InlineComponentsSchemasAnthropicDirectCallerPropertiesType	InlineAnthropicDirectCallerTypeX135b96ea	58	40	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlock/properties/source	InlineComponentsSchemasAnthropicDocumentBlockPropertiesSource	InlineAnthropicDocumentBlockSourceX6fa721bf	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlock/properties/type	InlineComponentsSchemasAnthropicDocumentBlockPropertiesType	InlineAnthropicDocumentBlockTypeX02c563ca	59	41	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlockParam/properties/citations	InlineComponentsSchemasAnthropicDocumentBlockParamPropertiesCitations	InlineAnthropicDocumentBlockParamCitationsXe5f0a7ae	69	51	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlockParam/properties/source	InlineComponentsSchemasAnthropicDocumentBlockParamPropertiesSource	InlineAnthropicDocumentBlockParamSourceXb255d816	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlockParam/properties/source/oneOf/2	InlineComponentsSchemasAnthropicDocumentBlockParamPropertiesSourceOneOf2	InlineAnthropicDocumentBlockParamSourceOneOf3Xbf40f882	72	54	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlockParam/properties/source/oneOf/2/properties/content	InlineComponentsSchemasAnthropicDocumentBlockParamPropertiesSourceOneOf2PropertiesContent	InlineAnthropicDocumentBlockParamSourceOneOf3ContentX376b90e8	89	61	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlockParam/properties/source/oneOf/2/properties/content/anyOf/1/items	InlineComponentsSchemasAnthropicDocumentBlockParamPropertiesSourceOneOf2Properti4887d144	InlineAnthropicDocumentBlockParamSourceOneOf3ContentAnyOf2ItemX4887d144	88	71	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlockParam/properties/source/oneOf/2/properties/type	InlineComponentsSchemasAnthropicDocumentBlockParamPropertiesSourceOneOf2PropertiesType	InlineAnthropicDocumentBlockParamSourceOneOf3TypeXcbc5a6c7	86	58	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicDocumentBlockParam/properties/type	InlineComponentsSchemasAnthropicDocumentBlockParamPropertiesType	InlineAnthropicDocumentBlockParamTypeXe4e5a429	64	46	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicEncryptedCodeExecutionResult/properties/type	InlineComponentsSchemasAnthropicEncryptedCodeExecutionResultPropertiesType	InlineAnthropicEncryptedCodeExecutionResultTypeX48cf11a9	74	56	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicFileDocumentSource/properties/type	InlineComponentsSchemasAnthropicFileDocumentSourcePropertiesType	InlineAnthropicFileDocumentSourceTypeX87400e76	64	46	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicImageBlockParam/properties/source	InlineComponentsSchemasAnthropicImageBlockParamPropertiesSource	InlineAnthropicImageBlockParamSourceX02b06711	63	45	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicImageBlockParam/properties/type	InlineComponentsSchemasAnthropicImageBlockParamPropertiesType	InlineAnthropicImageBlockParamTypeXf6b1b5ef	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicInputTokensClearAtLeast/properties/type	InlineComponentsSchemasAnthropicInputTokensClearAtLeastPropertiesType	InlineAnthropicInputTokensClearAtLeastTypeXa59cf9d4	69	51	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicInputTokensTrigger/properties/type	InlineComponentsSchemasAnthropicInputTokensTriggerPropertiesType	InlineAnthropicInputTokensTriggerTypeX8451559b	64	46	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicMessageUsageIteration/allOf/1	InlineComponentsSchemasAnthropicMessageUsageIterationAllOf1	InlineAnthropicMessageUsageIterationAllOf2X3a71a28b	59	51	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicMessageUsageIteration/allOf/1/properties/type	InlineComponentsSchemasAnthropicMessageUsageIterationAllOf1PropertiesType	InlineAnthropicMessageUsageIterationAllOf2TypeXd80ac718	73	55	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicPlainTextSource/properties/media_type	InlineComponentsSchemasAnthropicPlainTextSourcePropertiesMediaType	InlineAnthropicPlainTextSourceMediaTypeXdcddf07d	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicPlainTextSource/properties/type	InlineComponentsSchemasAnthropicPlainTextSourcePropertiesType	InlineAnthropicPlainTextSourceTypeX95eafc8e	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicRedactedThinkingBlock/properties/type	InlineComponentsSchemasAnthropicRedactedThinkingBlockPropertiesType	InlineAnthropicRedactedThinkingBlockTypeX8930a877	67	49	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicRefusalStopDetails/properties/category	InlineComponentsSchemasAnthropicRefusalStopDetailsPropertiesCategory	InlineAnthropicRefusalStopDetailsCategoryX813d8d7e	68	50	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicRefusalStopDetails/properties/type	InlineComponentsSchemasAnthropicRefusalStopDetailsPropertiesType	InlineAnthropicRefusalStopDetailsTypeX3ff6dc3a	64	46	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicSearchResultBlockParam/properties/citations	InlineComponentsSchemasAnthropicSearchResultBlockParamPropertiesCitations	InlineAnthropicSearchResultBlockParamCitationsX123642f2	73	55	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicSearchResultBlockParam/properties/type	InlineComponentsSchemasAnthropicSearchResultBlockParamPropertiesType	InlineAnthropicSearchResultBlockParamTypeX2b91bce1	68	50	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextBlock/properties/type	InlineComponentsSchemasAnthropicTextBlockPropertiesType	InlineAnthropicTextBlockTypeXbd960bad	55	37	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextBlockParam/properties/citations/items	InlineComponentsSchemasAnthropicTextBlockParamPropertiesCitationsItems	InlineAnthropicTextBlockParamCitationsItemXa20bc77d	70	51	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextBlockParam/properties/type	InlineComponentsSchemasAnthropicTextBlockParamPropertiesType	InlineAnthropicTextBlockParamTypeX2f8f666a	60	42	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextEditorCodeExecutionCreateResult/properties/type	InlineComponentsSchemasAnthropicTextEditorCodeExecutionCreateResultPropertiesType	InlineAnthropicTextEditorCodeExecutionCreateResultTypeXc7ea1ee3	81	63	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextEditorCodeExecutionStrReplaceResult/properties/type	InlineComponentsSchemasAnthropicTextEditorCodeExecutionStrReplaceResultPropertiesType	InlineAnthropicTextEditorCodeExecutionStrReplaceResultTypeX303fffb8	85	67	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextEditorCodeExecutionToolResult/properties/type	InlineComponentsSchemasAnthropicTextEditorCodeExecutionToolResultPropertiesType	InlineAnthropicTextEditorCodeExecutionToolResultTypeX62bd7294	79	61	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextEditorCodeExecutionToolResultError/properties/error_code	InlineComponentsSchemasAnthropicTextEditorCodeExecutionToolResultErrorPropertiesErrorCode	InlineAnthropicTextEditorCodeExecutionToolResultErrorErrorCodeXaa3b8fb6	89	71	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextEditorCodeExecutionToolResultError/properties/type	InlineComponentsSchemasAnthropicTextEditorCodeExecutionToolResultErrorPropertiesType	InlineAnthropicTextEditorCodeExecutionToolResultErrorTypeXcd12244d	84	66	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextEditorCodeExecutionViewResult/properties/file_type	InlineComponentsSchemasAnthropicTextEditorCodeExecutionViewResultPropertiesFileType	InlineAnthropicTextEditorCodeExecutionViewResultFileTypeX93a9dd3c	83	65	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicTextEditorCodeExecutionViewResult/properties/type	InlineComponentsSchemasAnthropicTextEditorCodeExecutionViewResultPropertiesType	InlineAnthropicTextEditorCodeExecutionViewResultTypeXf03c7759	79	61	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicThinkingBlock/properties/type	InlineComponentsSchemasAnthropicThinkingBlockPropertiesType	InlineAnthropicThinkingBlockTypeX4f592c6b	59	41	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicThinkingTurns/properties/type	InlineComponentsSchemasAnthropicThinkingTurnsPropertiesType	InlineAnthropicThinkingTurnsTypeXfd701969	59	41	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicToolReference/properties/type	InlineComponentsSchemasAnthropicToolReferencePropertiesType	InlineAnthropicToolReferenceTypeXfdc1dc52	59	41	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicToolSearchResult/properties/type	InlineComponentsSchemasAnthropicToolSearchResultPropertiesType	InlineAnthropicToolSearchResultTypeX9de5669c	62	44	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicToolSearchResultError/properties/type	InlineComponentsSchemasAnthropicToolSearchResultErrorPropertiesType	InlineAnthropicToolSearchResultErrorTypeX9c99af1d	67	49	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicToolSearchToolResult/properties/type	InlineComponentsSchemasAnthropicToolSearchToolResultPropertiesType	InlineAnthropicToolSearchToolResultTypeXa6009ee6	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicToolUseBlock/properties/type	InlineComponentsSchemasAnthropicToolUseBlockPropertiesType	InlineAnthropicToolUseBlockTypeX0d530418	58	40	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicToolUsesKeep/properties/type	InlineComponentsSchemasAnthropicToolUsesKeepPropertiesType	InlineAnthropicToolUsesKeepTypeXdcd2cc92	58	40	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicToolUsesTrigger/properties/type	InlineComponentsSchemasAnthropicToolUsesTriggerPropertiesType	InlineAnthropicToolUsesTriggerTypeXfde43d31	61	43	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicUnknownUsageIteration/allOf/1	InlineComponentsSchemasAnthropicUnknownUsageIterationAllOf1	InlineAnthropicUnknownUsageIterationAllOf2X25173df0	59	51	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicUrlImageSource/properties/type	InlineComponentsSchemasAnthropicUrlImageSourcePropertiesType	InlineAnthropicUrlImageSourceTypeX75f6b6ca	60	42	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicUrlPdfSource/properties/type	InlineComponentsSchemasAnthropicUrlPdfSourcePropertiesType	InlineAnthropicUrlPdfSourceTypeX64c8b287	58	40	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebFetchBlock/properties/type	InlineComponentsSchemasAnthropicWebFetchBlockPropertiesType	InlineAnthropicWebFetchBlockTypeX712efb12	59	41	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebFetchToolResult/properties/type	InlineComponentsSchemasAnthropicWebFetchToolResultPropertiesType	InlineAnthropicWebFetchToolResultTypeX43274783	64	46	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebFetchToolResultError/properties/error_code	InlineComponentsSchemasAnthropicWebFetchToolResultErrorPropertiesErrorCode	InlineAnthropicWebFetchToolResultErrorErrorCodeXf3fb79d4	74	56	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicWebFetchToolResultError/properties/type	InlineComponentsSchemasAnthropicWebFetchToolResultErrorPropertiesType	InlineAnthropicWebFetchToolResultErrorTypeXa3d3754b	69	51	true
